Iteration,Residual
1.000000000000000000e+00,2.361329269972906957e+02
2.000000000000000000e+00,1.283464545277705611e+02
3.000000000000000000e+00,1.652014265118446303e+02
4.000000000000000000e+00,2.209211507944105506e+02
5.000000000000000000e+00,1.588761771258599822e+02
6.000000000000000000e+00,1.393309559734714185e+02
7.000000000000000000e+00,2.303805987281663477e+02
8.000000000000000000e+00,1.308992298616549306e+02
9.000000000000000000e+00,9.860229687797723841e+01
1.000000000000000000e+01,8.541555982680729642e+01
1.100000000000000000e+01,9.799739486435038316e+01
1.200000000000000000e+01,1.126494937855334513e+02
1.300000000000000000e+01,1.063346596925456709e+02
1.400000000000000000e+01,1.200076632379374075e+02
1.500000000000000000e+01,1.274498881547837215e+02
1.600000000000000000e+01,1.040881033003362717e+02
1.700000000000000000e+01,9.419275792330299168e+01
1.800000000000000000e+01,1.247917256963881982e+02
1.900000000000000000e+01,1.065919440680059438e+02
2.000000000000000000e+01,1.317604680303804798e+02
2.100000000000000000e+01,1.373358830769402914e+02
2.200000000000000000e+01,1.547589681037140110e+02
2.300000000000000000e+01,1.325302091381776108e+02
2.400000000000000000e+01,1.465320852517969001e+02
2.500000000000000000e+01,1.355914276229163420e+02
2.600000000000000000e+01,1.420171914016238475e+02
2.700000000000000000e+01,1.359187592399264304e+02
2.800000000000000000e+01,1.369077545442879682e+02
2.900000000000000000e+01,1.129254784294276561e+02
3.000000000000000000e+01,1.105444637270598207e+02
3.100000000000000000e+01,8.968435407840404139e+01
3.200000000000000000e+01,9.466352075882848283e+01
3.300000000000000000e+01,8.915178042211104525e+01
3.400000000000000000e+01,9.283447371081005883e+01
3.500000000000000000e+01,9.417065109106025034e+01
3.600000000000000000e+01,9.907672529607496870e+01
3.700000000000000000e+01,1.066882726053303259e+02
3.800000000000000000e+01,1.051726263032729918e+02
3.900000000000000000e+01,1.196363474043391193e+02
4.000000000000000000e+01,1.263222241780831610e+02
4.100000000000000000e+01,1.154449637287679593e+02
4.200000000000000000e+01,1.187283664218927015e+02
4.300000000000000000e+01,1.255102414656345928e+02
4.400000000000000000e+01,1.251480683613145430e+02
4.500000000000000000e+01,1.298385654073655360e+02
4.600000000000000000e+01,1.283735353947737678e+02
4.700000000000000000e+01,1.272738584407726563e+02
4.800000000000000000e+01,1.248174533273461151e+02
4.900000000000000000e+01,1.440337290318896635e+02
5.000000000000000000e+01,1.229620713526514493e+02
5.100000000000000000e+01,1.107688630460498302e+02
5.200000000000000000e+01,1.033469229260878137e+02
5.300000000000000000e+01,1.036548306181242225e+02
5.400000000000000000e+01,1.019655472551979756e+02
5.500000000000000000e+01,1.044907858190703109e+02
5.600000000000000000e+01,9.995317813446834521e+01
5.700000000000000000e+01,1.037213004399193750e+02
5.800000000000000000e+01,1.077996430336648643e+02
5.900000000000000000e+01,1.176682503409510190e+02
6.000000000000000000e+01,1.194335041647990607e+02
6.100000000000000000e+01,1.197959024682733826e+02
6.200000000000000000e+01,1.147866629539174852e+02
6.300000000000000000e+01,1.080802977054228364e+02
6.400000000000000000e+01,9.290299951976965076e+01
6.500000000000000000e+01,8.957238195533125236e+01
6.600000000000000000e+01,8.735492276747754659e+01
6.700000000000000000e+01,8.917908983764704089e+01
6.800000000000000000e+01,9.384813322798611068e+01
6.900000000000000000e+01,1.008791972304765636e+02
7.000000000000000000e+01,9.820337192272502591e+01
7.100000000000000000e+01,9.880635480008221805e+01
7.200000000000000000e+01,1.026000769118836331e+02
7.300000000000000000e+01,1.029080928237494419e+02
7.400000000000000000e+01,1.142063658989688548e+02
7.500000000000000000e+01,1.168166082924520452e+02
7.600000000000000000e+01,1.085901058810031117e+02
7.700000000000000000e+01,1.114954390783304063e+02
7.800000000000000000e+01,1.086015405311520396e+02
7.900000000000000000e+01,1.059390674274773119e+02
