Iteration,Residual
1.000000000000000000e+00,2.904766506387293035e+01
2.000000000000000000e+00,9.025741789230976053e+01
3.000000000000000000e+00,5.956393449669015183e+01
4.000000000000000000e+00,8.812126436948088326e+01
5.000000000000000000e+00,7.002321959735725443e+01
6.000000000000000000e+00,3.350924511662964989e+01
7.000000000000000000e+00,3.538292877912176948e+01
8.000000000000000000e+00,4.198666906781547681e+01
9.000000000000000000e+00,3.886787634722225704e+01
1.000000000000000000e+01,3.333773997036550440e+01
1.100000000000000000e+01,3.554406123181566812e+01
1.200000000000000000e+01,3.064734350649018069e+01
1.300000000000000000e+01,3.776951494250062069e+01
1.400000000000000000e+01,5.412976425390687041e+01
1.500000000000000000e+01,5.416791827105900126e+01
1.600000000000000000e+01,5.205020865312339851e+01
1.700000000000000000e+01,5.127956035510775479e+01
1.800000000000000000e+01,5.712786940131214664e+01
1.900000000000000000e+01,5.269712058979383329e+01
2.000000000000000000e+01,5.767126868527171268e+01
2.100000000000000000e+01,7.605916700496419480e+01
2.200000000000000000e+01,7.850062969847977001e+01
2.300000000000000000e+01,8.049487491698452857e+01
2.400000000000000000e+01,7.355102839352092303e+01
2.500000000000000000e+01,6.279909437462904265e+01
2.600000000000000000e+01,5.652945981203713899e+01
2.700000000000000000e+01,5.178174802774773866e+01
2.800000000000000000e+01,4.988055198396143908e+01
2.900000000000000000e+01,4.712742356524245935e+01
3.000000000000000000e+01,5.041977295655710378e+01
3.100000000000000000e+01,5.481163401431918203e+01
3.200000000000000000e+01,5.878474031060322602e+01
3.300000000000000000e+01,7.011389458457878732e+01
3.400000000000000000e+01,6.515872518812486192e+01
3.500000000000000000e+01,5.445397429740596351e+01
3.600000000000000000e+01,5.685982732051307664e+01
3.700000000000000000e+01,5.779544431206763022e+01
3.800000000000000000e+01,4.864516275305408044e+01
3.900000000000000000e+01,4.131810120514168716e+01
4.000000000000000000e+01,4.187111897110612091e+01
4.100000000000000000e+01,4.943627456326429837e+01
4.200000000000000000e+01,5.347599412492035498e+01
4.300000000000000000e+01,5.052265458277995691e+01
4.400000000000000000e+01,5.005057638455448910e+01
4.500000000000000000e+01,5.150822894745533631e+01
4.600000000000000000e+01,4.912300674705415560e+01
4.700000000000000000e+01,5.000515298271442788e+01
4.800000000000000000e+01,5.238890691600191474e+01
4.900000000000000000e+01,5.191682724011506878e+01
5.000000000000000000e+01,5.020057827352218283e+01
5.100000000000000000e+01,4.665822775163557168e+01
5.200000000000000000e+01,4.915971706158412502e+01
5.300000000000000000e+01,4.748159877225643299e+01
5.400000000000000000e+01,4.809628961126568925e+01
5.500000000000000000e+01,5.718830603421335468e+01
5.600000000000000000e+01,5.200104106423494699e+01
5.700000000000000000e+01,5.210524503774700378e+01
5.800000000000000000e+01,5.505233825783152923e+01
5.900000000000000000e+01,5.168066977647972493e+01
6.000000000000000000e+01,5.352875334862412871e+01
6.100000000000000000e+01,5.281414967623457812e+01
6.200000000000000000e+01,5.950436426094138653e+01
6.300000000000000000e+01,6.115259736284397007e+01
6.400000000000000000e+01,5.420882592217942886e+01
6.500000000000000000e+01,5.658191777262772604e+01
6.600000000000000000e+01,5.850626404174801110e+01
6.700000000000000000e+01,6.039956778368414092e+01
6.800000000000000000e+01,6.007759559020936280e+01
6.900000000000000000e+01,5.945605740925209659e+01
7.000000000000000000e+01,5.913058323960026996e+01
7.100000000000000000e+01,6.418375046813092411e+01
7.200000000000000000e+01,6.587144424900901640e+01
7.300000000000000000e+01,6.038331713387334787e+01
7.400000000000000000e+01,6.342045898718858865e+01
7.500000000000000000e+01,7.237410319262309599e+01
7.600000000000000000e+01,9.445519642405790250e+01
7.700000000000000000e+01,8.787104380952493443e+01
7.800000000000000000e+01,8.121212157263065023e+01
7.900000000000000000e+01,9.625495974998277404e+01
8.000000000000000000e+01,9.103954714773180967e+01
8.100000000000000000e+01,8.329544280970614523e+01
8.200000000000000000e+01,8.645746838073593210e+01
8.300000000000000000e+01,7.787782809406704132e+01
8.400000000000000000e+01,6.927429100237816328e+01
8.500000000000000000e+01,6.197733331453640915e+01
8.600000000000000000e+01,5.141866061753902528e+01
8.700000000000000000e+01,4.998314624251065652e+01
8.800000000000000000e+01,5.108897254192716986e+01
8.900000000000000000e+01,4.604223522048678063e+01
9.000000000000000000e+01,4.597191234696794027e+01
9.100000000000000000e+01,4.698636670712380692e+01
9.200000000000000000e+01,4.704619476929390487e+01
9.300000000000000000e+01,5.090069221636903762e+01
9.400000000000000000e+01,5.159953745387554136e+01
9.500000000000000000e+01,4.991671620668216747e+01
9.600000000000000000e+01,5.975917394410345906e+01
9.700000000000000000e+01,7.174467684669258460e+01
9.800000000000000000e+01,7.533897002625050732e+01
9.900000000000000000e+01,8.634801618644068810e+01
1.000000000000000000e+02,8.437927279614788745e+01
1.010000000000000000e+02,7.340117774279957530e+01
1.020000000000000000e+02,7.332078920198394201e+01
1.030000000000000000e+02,6.927817577290709039e+01
1.040000000000000000e+02,7.046212351206361291e+01
1.050000000000000000e+02,7.064096389901273199e+01
1.060000000000000000e+02,6.558231353316629964e+01
1.070000000000000000e+02,6.110641705855041295e+01
1.080000000000000000e+02,5.978168425555753629e+01
1.090000000000000000e+02,6.284632929832931580e+01
1.100000000000000000e+02,5.967643813021580002e+01
1.110000000000000000e+02,7.183268797717398968e+01
1.120000000000000000e+02,6.579374149797848759e+01
1.130000000000000000e+02,7.143275762206233992e+01
1.140000000000000000e+02,6.665394548167313360e+01
1.150000000000000000e+02,6.439848825514729924e+01
1.160000000000000000e+02,7.240772812188940577e+01
1.170000000000000000e+02,5.794286690339238532e+01
1.180000000000000000e+02,5.461063327821653246e+01
1.190000000000000000e+02,4.699161901357521742e+01
1.200000000000000000e+02,5.487364991669953440e+01
1.210000000000000000e+02,4.132159129094941363e+01
1.220000000000000000e+02,4.464958237135917329e+01
1.230000000000000000e+02,3.734080139976819623e+01
1.240000000000000000e+02,4.618427823905318519e+01
1.250000000000000000e+02,5.138067993315861060e+01
1.260000000000000000e+02,5.252637107863496624e+01
1.270000000000000000e+02,4.978978259801277062e+01
1.280000000000000000e+02,5.136649201422506650e+01
1.290000000000000000e+02,5.169363810859695718e+01
1.300000000000000000e+02,5.447449469169884395e+01
1.310000000000000000e+02,5.342979488408116850e+01
1.320000000000000000e+02,5.473650092795345046e+01
1.330000000000000000e+02,4.790064427928090396e+01
1.340000000000000000e+02,5.124639981374021858e+01
1.350000000000000000e+02,4.641908217711911533e+01
1.360000000000000000e+02,4.715223176920272152e+01
1.370000000000000000e+02,4.637215682859216770e+01
1.380000000000000000e+02,4.791898286639564475e+01
1.390000000000000000e+02,4.891214165541293823e+01
1.400000000000000000e+02,4.926373145888517513e+01
1.410000000000000000e+02,5.164471759757186220e+01
1.420000000000000000e+02,4.870435361167425725e+01
1.430000000000000000e+02,5.868379627200872761e+01
1.440000000000000000e+02,5.524020558991165331e+01
1.450000000000000000e+02,5.561672641451374943e+01
1.460000000000000000e+02,4.573551948347873264e+01
1.470000000000000000e+02,4.938954757598270362e+01
1.480000000000000000e+02,4.727013057866283674e+01
1.490000000000000000e+02,4.451792414572314271e+01
1.500000000000000000e+02,4.130386626794719263e+01
1.510000000000000000e+02,4.108793854116574096e+01
1.520000000000000000e+02,3.542936062374354833e+01
1.530000000000000000e+02,3.052438772412588008e+01
1.540000000000000000e+02,2.851210491576506101e+01
1.550000000000000000e+02,2.897118499402377978e+01
1.560000000000000000e+02,3.174777263659927584e+01
1.570000000000000000e+02,2.689255324368876288e+01
1.580000000000000000e+02,2.436729538834877928e+01
1.590000000000000000e+02,2.599071786182549104e+01
1.600000000000000000e+02,2.731249576624062669e+01
1.610000000000000000e+02,2.665082620288035997e+01
1.620000000000000000e+02,2.343764297920629147e+01
1.630000000000000000e+02,2.307994437720565273e+01
1.640000000000000000e+02,2.146728321939654904e+01
1.650000000000000000e+02,2.236889869539250597e+01
1.660000000000000000e+02,2.036301350611523731e+01
1.670000000000000000e+02,2.029150626799403057e+01
1.680000000000000000e+02,2.069548827445991535e+01
1.690000000000000000e+02,2.250865008321635941e+01
1.700000000000000000e+02,2.180820899751071096e+01
1.710000000000000000e+02,2.140414354932465102e+01
1.720000000000000000e+02,2.099437921637606053e+01
1.730000000000000000e+02,1.975553386287599622e+01
1.740000000000000000e+02,2.006305025095810635e+01
1.750000000000000000e+02,1.963302885174243784e+01
1.760000000000000000e+02,1.964915471766827793e+01
1.770000000000000000e+02,1.923905105614764821e+01
1.780000000000000000e+02,1.800739200441094212e+01
1.790000000000000000e+02,1.739098583544847187e+01
1.800000000000000000e+02,1.715364913827014348e+01
1.810000000000000000e+02,1.565629152108663824e+01
1.820000000000000000e+02,1.558547694803054462e+01
1.830000000000000000e+02,1.565067824504128069e+01
1.840000000000000000e+02,1.641907181122997983e+01
1.850000000000000000e+02,1.818660069337644103e+01
1.860000000000000000e+02,2.036626702577174441e+01
1.870000000000000000e+02,2.110280142764098343e+01
1.880000000000000000e+02,2.099659503425731089e+01
1.890000000000000000e+02,2.116598563691490753e+01
1.900000000000000000e+02,1.993153912578144826e+01
1.910000000000000000e+02,2.217544697246399110e+01
1.920000000000000000e+02,1.914534123155489809e+01
1.930000000000000000e+02,2.042100120952589393e+01
1.940000000000000000e+02,1.890354185663096587e+01
1.950000000000000000e+02,1.872716553507386195e+01
1.960000000000000000e+02,1.623929958833219089e+01
1.970000000000000000e+02,1.798324958241711613e+01
1.980000000000000000e+02,1.829922743714604749e+01
1.990000000000000000e+02,1.911522444507822271e+01
2.000000000000000000e+02,2.017503628277200178e+01
2.010000000000000000e+02,2.044025499062094298e+01
2.020000000000000000e+02,1.824372593161842460e+01
2.030000000000000000e+02,1.740313058987945993e+01
2.040000000000000000e+02,1.767764257888527268e+01
2.050000000000000000e+02,1.840435731168206601e+01
2.060000000000000000e+02,2.050786202196846375e+01
2.070000000000000000e+02,2.223388959411706978e+01
2.080000000000000000e+02,2.394022477275125027e+01
2.090000000000000000e+02,2.506732114448478299e+01
2.100000000000000000e+02,2.547208767654576533e+01
2.110000000000000000e+02,2.439751823100531070e+01
2.120000000000000000e+02,2.540441715294431901e+01
2.130000000000000000e+02,2.894706969401731911e+01
2.140000000000000000e+02,2.909971592241305416e+01
2.150000000000000000e+02,2.926704772292119827e+01
2.160000000000000000e+02,3.198676354153633383e+01
2.170000000000000000e+02,3.125804079076821651e+01
2.180000000000000000e+02,3.034138519215999708e+01
2.190000000000000000e+02,3.194109527055840658e+01
2.200000000000000000e+02,3.022296223742785060e+01
2.210000000000000000e+02,2.893986393031511639e+01
2.220000000000000000e+02,3.162737171355394494e+01
2.230000000000000000e+02,3.033336346230382219e+01
2.240000000000000000e+02,3.123079733043142525e+01
2.250000000000000000e+02,2.943930119204069840e+01
2.260000000000000000e+02,2.858815725518908479e+01
2.270000000000000000e+02,2.764656822821996940e+01
2.280000000000000000e+02,2.733101005710174647e+01
2.290000000000000000e+02,2.723456750621050304e+01
2.300000000000000000e+02,3.008985085058807130e+01
2.310000000000000000e+02,3.377621946721274071e+01
2.320000000000000000e+02,3.216716632982689816e+01
2.330000000000000000e+02,3.396575243212654271e+01
2.340000000000000000e+02,3.724565295348099170e+01
2.350000000000000000e+02,4.062730776983365644e+01
2.360000000000000000e+02,4.043117368244556786e+01
2.370000000000000000e+02,3.974546117275892243e+01
2.380000000000000000e+02,4.242044739717996293e+01
2.390000000000000000e+02,4.335040304187919702e+01
2.400000000000000000e+02,4.165422079878314321e+01
2.410000000000000000e+02,4.369788839779626244e+01
2.420000000000000000e+02,4.402331848735954622e+01
2.430000000000000000e+02,4.078213775911952155e+01
2.440000000000000000e+02,3.928980280712669781e+01
2.450000000000000000e+02,4.066554624318631284e+01
2.460000000000000000e+02,4.228176186719443308e+01
2.470000000000000000e+02,4.550356650283607962e+01
2.480000000000000000e+02,4.714002208432769692e+01
2.490000000000000000e+02,4.761027526144957278e+01
2.500000000000000000e+02,5.068034974331730780e+01
2.510000000000000000e+02,4.806692765921741284e+01
